num_layers,hidden_size,num_epochs,lr,dropout,RMSE_val,RMSE_train
2.0,300.0,300.0,0.0001,0.0,4479.78,3976.03
2.0,300.0,300.0,0.0001,0.3,19627.28,16022.17
2.0,300.0,300.0,0.0001,0.5,23773.6,17041.77
2.0,300.0,300.0,0.0005,0.0,14713.75,14183.65
2.0,300.0,300.0,0.0005,0.3,32794.06,18986.87
2.0,300.0,300.0,0.0005,0.5,30010.87,35996.05
2.0,300.0,300.0,0.001,0.0,11257.08,8753.31
2.0,300.0,300.0,0.001,0.3,46465.47,31027.0
2.0,300.0,300.0,0.001,0.5,44680.31,28428.61
2.0,300.0,400.0,0.0001,0.0,3595.23,4253.33
2.0,300.0,400.0,0.0001,0.3,12634.99,9167.63
2.0,300.0,400.0,0.0001,0.5,12183.08,10839.67
2.0,300.0,400.0,0.0005,0.0,23949.6,18979.86
2.0,300.0,400.0,0.0005,0.3,28534.84,26013.19
2.0,300.0,400.0,0.0005,0.5,45986.81,27967.02
2.0,300.0,400.0,0.001,0.0,4469.48,5484.01
2.0,300.0,400.0,0.001,0.3,44007.88,34840.35
2.0,300.0,400.0,0.001,0.5,55943.42,33562.25
3.0,200.0,200.0,0.0001,0.0,9196.34,5448.01
3.0,200.0,200.0,0.0001,0.3,33329.94,23821.62
3.0,200.0,200.0,0.0001,0.5,89097.57,63937.95
3.0,200.0,200.0,0.0005,0.0,54202.24,40733.85
3.0,200.0,200.0,0.0005,0.3,39566.13,23635.03
3.0,200.0,200.0,0.0005,0.5,25204.43,18323.77
3.0,200.0,200.0,0.001,0.0,8833.24,7100.1
3.0,200.0,200.0,0.001,0.3,39206.56,21390.36
3.0,200.0,200.0,0.001,0.5,35807.85,31786.8
3.0,200.0,300.0,0.0001,0.0,5548.62,3285.65
3.0,200.0,300.0,0.0001,0.3,18908.87,15227.71
3.0,200.0,300.0,0.0001,0.5,47707.96,34702.84
3.0,200.0,300.0,0.0005,0.0,6623.27,6643.57
3.0,200.0,300.0,0.0005,0.3,15849.11,12224.56
3.0,200.0,300.0,0.0005,0.5,35268.76,19322.84
3.0,200.0,300.0,0.001,0.0,19067.47,14355.81
3.0,200.0,300.0,0.001,0.3,35897.82,29937.93
3.0,200.0,300.0,0.001,0.5,25175.0,19737.75
3.0,200.0,400.0,0.0001,0.0,5073.58,4445.48
3.0,200.0,400.0,0.0001,0.3,20409.77,11364.34
3.0,200.0,400.0,0.0001,0.5,34604.95,21418.68
3.0,200.0,400.0,0.0005,0.0,5169.86,2702.35
3.0,200.0,400.0,0.0005,0.3,15004.24,15314.65
3.0,200.0,400.0,0.0005,0.5,37250.35,19375.04
3.0,200.0,400.0,0.001,0.0,7419.65,4146.96
3.0,200.0,400.0,0.001,0.3,25576.09,16239.52
3.0,200.0,400.0,0.001,0.5,37703.17,23439.58
3.0,300.0,200.0,0.0001,0.0,5777.97,5062.66
3.0,300.0,200.0,0.0001,0.3,21045.41,15344.37
3.0,300.0,200.0,0.0001,0.5,50766.99,35702.0
3.0,300.0,200.0,0.0005,0.0,16797.43,16530.24
3.0,300.0,200.0,0.0005,0.3,73882.77,54352.96
3.0,300.0,200.0,0.0005,0.5,22298.38,18343.7
3.0,300.0,200.0,0.001,0.0,33778.45,23789.59
3.0,300.0,200.0,0.001,0.3,48931.32,38947.23
3.0,300.0,200.0,0.001,0.5,54711.94,50613.34
3.0,300.0,300.0,0.0001,0.0,6156.41,5439.35
3.0,300.0,300.0,0.0001,0.3,14922.54,12431.95
3.0,300.0,300.0,0.0001,0.5,23579.45,19599.93
3.0,300.0,300.0,0.0005,0.0,9076.33,7210.93
3.0,300.0,300.0,0.0005,0.3,37564.37,26745.96
3.0,300.0,300.0,0.0005,0.5,27548.28,23978.69
3.0,300.0,300.0,0.001,0.0,12971.19,11119.81
3.0,300.0,300.0,0.001,0.3,69087.14,57646.3
3.0,300.0,300.0,0.001,0.5,19367.64,18280.28
3.0,300.0,400.0,0.0001,0.0,7454.72,4362.19
3.0,300.0,400.0,0.0001,0.3,16260.35,17059.95
3.0,300.0,400.0,0.0001,0.5,16221.7,13313.09
3.0,300.0,400.0,0.0005,0.0,5883.08,5482.52
3.0,300.0,400.0,0.0005,0.3,13710.26,9326.76
3.0,300.0,400.0,0.0005,0.5,18867.84,15976.38
3.0,300.0,400.0,0.001,0.0,28592.06,26386.61
3.0,300.0,400.0,0.001,0.3,32696.11,25171.29
3.0,300.0,400.0,0.001,0.5,37923.79,24080.29
